city,country,lat,lon,source,oid,state,comments
Hammerum,Denmark,56.1333,9.06667,manually from http://www.astro.com/atlas/,885,NULL,NULL
Hasle,Denmark,55.1833,14.7167,manually from http://www.astro.com/atlas/,886,NULL,NULL
Haslev,Denmark,55.3333,11.9667,manually from http://www.astro.com/atlas/,887,NULL,NULL
Hedehusene,Denmark,55.65,12.2,manually from http://www.astro.com/atlas/,888,NULL,NULL
Hedensted,Denmark,55.7667,9.7,manually from http://www.astro.com/atlas/,889,NULL,NULL
Helsinge,Denmark,56.0167,12.2,manually from http://www.astro.com/atlas/,890,NULL,NULL
Helsingoer,Denmark,56.0333,12.6167,manually from http://www.astro.com/atlas/,891,NULL,NULL
Helsingoer South,Denmark,56.0333,12.6167,manually from http://www.astro.com/atlas/,892,NULL,NULL
Herlev,Denmark,55.7167,12.45,manually from http://www.astro.com/atlas/,893,NULL,NULL
Herning,Denmark,56.1333,8.98333,manually from http://www.astro.com/atlas/,894,NULL,NULL
Hilleroed,Denmark,55.9333,12.3167,manually from http://www.astro.com/atlas/,895,NULL,NULL
Hinnerup,Denmark,56.2667,10.0667,manually from http://www.astro.com/atlas/,896,NULL,NULL
Hirtshals,Denmark,57.5833,9.96667,manually from http://www.astro.com/atlas/,897,NULL,NULL
Hjoerring,Denmark,57.4667,9.98333,manually from http://www.astro.com/atlas/,898,NULL,NULL
Hobro,Denmark,56.6333,9.8,manually from http://www.astro.com/atlas/,899,NULL,NULL
Holbaek,Denmark,55.7167,11.7167,manually from http://www.astro.com/atlas/,900,NULL,NULL
Holstebro,Denmark,56.35,8.63333,manually from http://www.astro.com/atlas/,901,NULL,NULL
Holte,Denmark,55.8167,12.4667,manually from http://www.astro.com/atlas/,902,NULL,NULL
Horsens,Denmark,55.8667,9.86667,manually from http://www.astro.com/atlas/,903,NULL,NULL
Humlebaek,Denmark,55.9667,12.55,manually from http://www.astro.com/atlas/,904,NULL,NULL
Ikast,Denmark,56.1333,9.16667,manually from http://www.astro.com/atlas/,905,NULL,NULL
Jyllinge,Denmark,55.75,12.1167,manually from http://www.astro.com/atlas/,906,NULL,NULL
Kalundborg,Denmark,55.6833,11.1,manually from http://www.astro.com/atlas/,907,NULL,NULL
Karlslunde,Denmark,55.5667,12.2333,manually from http://www.astro.com/atlas/,908,NULL,NULL
Kastrup,Denmark,55.6333,12.6333,manually from http://www.astro.com/atlas/,909,NULL,NULL
Kerteminde,Denmark,55.45,10.6667,manually from http://www.astro.com/atlas/,910,NULL,NULL
Kliplev,Denmark,54.9333,9.41667,manually from http://www.astro.com/atlas/,911,NULL,NULL
Kolding,Denmark,55.5167,9.48333,manually from http://www.astro.com/atlas/,912,NULL,NULL
Kolind,Denmark,56.3667,10.6167,manually from http://www.astro.com/atlas/,913,NULL,NULL
Korsoer,Denmark,55.3333,11.15,manually from http://www.astro.com/atlas/,914,NULL,NULL
Lemvig,Denmark,56.5333,8.3,manually from http://www.astro.com/atlas/,915,NULL,NULL
Lynge,Denmark,55.85,12.2833,manually from http://www.astro.com/atlas/,916,NULL,NULL
Mariager,Denmark,56.65,10,manually from http://www.astro.com/atlas/,917,NULL,NULL
Maribo,Denmark,54.7667,11.5167,manually from http://www.astro.com/atlas/,918,NULL,NULL
Middelfart,Denmark,55.5,9.75,manually from http://www.astro.com/atlas/,919,NULL,NULL
Naesby,Denmark,55.4167,10.3667,manually from http://www.astro.com/atlas/,920,NULL,NULL
Naestved,Denmark,55.2333,11.7667,manually from http://www.astro.com/atlas/,921,NULL,NULL
Nakskov,Denmark,54.8333,11.15,manually from http://www.astro.com/atlas/,922,NULL,NULL
Nivaa,Denmark,55.9333,12.5167,manually from http://www.astro.com/atlas/,923,NULL,NULL
Nyborg,Denmark,55.3167,10.8,manually from http://www.astro.com/atlas/,924,NULL,NULL
Odder,Denmark,55.9667,10.1667,manually from http://www.astro.com/atlas/,925,NULL,NULL
Otterup,Denmark,55.5167,10.4,manually from http://www.astro.com/atlas/,926,NULL,NULL
Randers,Denmark,56.4667,10.05,manually from http://www.astro.com/atlas/,927,NULL,NULL
Ribe,Denmark,55.35,8.76667,manually from http://www.astro.com/atlas/,928,NULL,NULL
Ringe,Denmark,55.2333,10.4833,manually from http://www.astro.com/atlas/,929,NULL,NULL
Ringkoebing,Denmark,56.0833,8.25,manually from http://www.astro.com/atlas/,930,NULL,NULL
Ringsted,Denmark,55.45,11.8167,manually from http://www.astro.com/atlas/,931,NULL,NULL
Roskilde,Denmark,55.6333,12.0833,manually from http://www.astro.com/atlas/,932,NULL,NULL
Roskilde East,Denmark,55.65,12.0833,manually from http://www.astro.com/atlas/,933,NULL,NULL
Rudkoebing,Denmark,54.9333,10.7167,manually from http://www.astro.com/atlas/,934,NULL,NULL
Silkeborg,Denmark,56.1667,9.56667,manually from http://www.astro.com/atlas/,935,NULL,NULL
Skaelskoer,Denmark,55.25,11.3167,manually from http://www.astro.com/atlas/,936,NULL,NULL
Skagen,Denmark,57.7333,10.6,manually from http://www.astro.com/atlas/,937,NULL,NULL
Skanderborg,Denmark,56.0333,9.93333,manually from http://www.astro.com/atlas/,938,NULL,NULL
Skive,Denmark,56.5667,9.03333,manually from http://www.astro.com/atlas/,939,NULL,NULL
Skjern,Denmark,55.95,8.5,manually from http://www.astro.com/atlas/,940,NULL,NULL
Slagelse,Denmark,55.4,11.35,manually from http://www.astro.com/atlas/,941,NULL,NULL
Slangerup,Denmark,55.85,12.1833,manually from http://www.astro.com/atlas/,942,NULL,NULL
Warren,United Kingdom,53.2333,-2.16667,manually from http://www.astro.com/atlas/,943,NULL,NULL
Boulogne Billancourt,France,48.8333,2.25,manually from http://www.astro.com/atlas/,944,NULL,NULL
Blindheim,Germany,48.6,10.5667,manually from http://www.astro.com/atlas/,947,NULL,NULL
Schwerin,Germany,53.6333,11.4167,manually from http://www.astro.com/atlas/,948,NULL,NULL
Pointe A Pitre,Guadeloupe,16.2333,-61.5333,manually from http://www.astro.com/atlas/,949,NULL,NULL
Arklow,Ireland,52.8,-6.15,manually from http://www.astro.com/atlas/,950,NULL,NULL
Tel Aviv,Israel,32.0667,34.7667,manually from http://www.astro.com/atlas/,951,NULL,NULL
Lamentin,Martinique,14.6167,-61.0167,manually from http://www.astro.com/atlas/,952,NULL,NULL
Le Lamentin,Martinique,14.6167,-61.0167,manually from http://www.astro.com/atlas/,953,NULL,NULL
Oldenzaal,Netherlands,52.3167,6.93333,manually from http://www.astro.com/atlas/,954,NULL,NULL
