code,city,state,country,comments,junk,oid
clmboh,Columbus,OH,USA,NULL,NULL,291
bcn,Barcelona,NULL,Spain,NULL,NULL,292
zur,Zurich,NULL,Switzerland,NULL,NULL,293
milnit,Milan,NULL,Italy,NULL,NULL,294
lga,New York,NY,USA,NULL,NULL,295
sanfranciscosfd,San Francisco,CA,USA,NULL,NULL,296
snfcca,San Francisco,CA,USA,NULL,NULL,297
minneapol,Minneapolis,MN,USA,NULL,NULL,298
veg,Las Vegas,NV,USA,NULL,NULL,299
uk.lon,London,NULL,United Kingdom,NULL,NULL,300
de.dus,Dusseldorf,NULL,Germany,NULL,NULL,301
de.bln,Berlin,NULL,Germany,NULL,NULL,302
cz.pra,Prague,NULL,Czech Republic,NULL,NULL,303
at.vie,Vienna,NULL,Austria,NULL,NULL,304
franckfurt,Frankfurt,NULL,Germany,NULL,NULL,305
bagnolet,Bagnolet,NULL,France,NULL,NULL,306
pennsauken,Pennsauken,NJ,USA,NULL,NULL,307
ftwo.us,Fort Worth,TX,USA,NULL,NULL,308
stoc.us,Stockton,CA,USA,NULL,NULL,309
maew.us,San Jose,CA,USA,NULL,NULL,310
fra,Frankfurt,NULL,Germany,NULL,NULL,311
okcyok,Oklahoma City,OK,USA,NULL,NULL,312
lnng.mi,Lansing,MI,USA,NULL,NULL,313
aubervilliers,Aubervilliers,NULL,France,NULL,NULL,314
brussels,Brussels,NULL,Belgium,NULL,NULL,315
holhi,Honolulu,HI,USA,NULL,NULL,316
okcy,Oklahoma City,OK,USA,NULL,NULL,317
scchtn,Charleston,SC,USA,NULL,NULL,318
poitiers,Poitiers,NULL,France,NULL,NULL,319
toulouse,Toulouse,NULL,France,NULL,NULL,320
st6wa,Seattle,WA,USA,NULL,NULL,321
kscymo,Kansas City,MO,USA,NULL,NULL,322
osaka,Osaka,NULL,Japan,NULL,NULL,323
sacramento,Sacramento,CA,USA,NULL,NULL,324
waterloo.on,Waterloo,ON,Canada,NULL,NULL,325
tor,Toronto,NULL,Canada,NULL,NULL,326
mtl,Montreal,NULL,Canada,NULL,NULL,327
toky.jp,Tokyo,NULL,Japan,NULL,NULL,328
tokyo,Tokyo,NULL,Japan,NULL,NULL,329
anarmi,Ann Arbor,MI,USA,NULL,NULL,330
asd.nl,Amsterdam,NULL,Netherlands,NULL,NULL,331
brusselsbrl,Brussels,NULL,Belgium,NULL,NULL,332
dub.ie,Dublin,NULL,Ireland,NULL,NULL,333
ldn.uk,London,NULL,United Kingdom,NULL,NULL,334
nyk.ny.us,New York,NY,USA,NULL,NULL,335
dortmund.de,Dortmund,NULL,Germany,NULL,NULL,336
wuppertal.de,Wuppertal,NULL,Germany,NULL,NULL,337
ldn,London,NULL,United Kingdom,NULL,NULL,338
delft,Delft,NULL,Netherlands,NULL,NULL,339
denhaag,Den Haag,NULL,Netherlands,NULL,NULL,340
regina,Regina,SK,Canada,NULL,NULL,341
geneva.ch,Geneva,NULL,Switzerland,NULL,NULL,342
washingtondck,Washington,DC,USA,NULL,NULL,343
zrh,Zurich,NULL,Switzerland,NULL,NULL,344
cdg,Paris,NULL,France,NULL,NULL,345
sumt.nj,Summit,NJ,USA,NULL,NULL,346
restonrst,Reston,VA,USA,NULL,NULL,347
newyorknyr,New York,NY,USA,NULL,NULL,348
us-was,Washington,DC,USA,NULL,NULL,349
us-ny,New York,NY,USA,NULL,NULL,350
stuttgart,Stuttgart,NULL,Germany,NULL,NULL,351
hamburg,Hamburg,NULL,Germany,NULL,NULL,352
duesseldorf,Dusseldorf,NULL,Germany,NULL,NULL,353
parispav,Paris,NULL,France,NULL,NULL,354
adubn.nj,Audubon,NJ,USA,NULL,NULL,355
london.gb,London,NULL,United Kingdom,NULL,NULL,356
stuttgart.de,Stuttgart,NULL,Germany,NULL,NULL,357
koeln,Koeln,NULL,Germany,NULL,NULL,358
aachen,Aachen,NULL,Germany,NULL,NULL,359
bostonbol,Boston,MA,USA,NULL,NULL,360
sandiego,San Diego,CA,USA,NULL,NULL,361
btrgla,Baton Rouge,LA,USA,NULL,NULL,362
btnrug.la,Baton Rouge,LA,USA,NULL,NULL,363
bcrtfl,Boca Raton,FL,USA,NULL,NULL,364
bru,Brussels,NULL,Belgium,NULL,NULL,365
brussels.be,Brussels,NULL,Belgium,NULL,NULL,366
namur.be,Namur,NULL,Belgium,NULL,NULL,367
lvg,Las Vegas,NV,USA,NULL,NULL,368
klmz.mi,Kalamazoo,MI,USA,NULL,NULL,369
gdrp.mi,Grand Rapids,MI,USA,NULL,NULL,370
trcy.mi,Traverse City,MI,USA,NULL,NULL,371
hrfrct,Hartford,CT,USA,NULL,NULL,372
dtc,Washington,DC,USA,NULL,NULL,373
dnvr,Denver,CO,USA,NULL,NULL,374
scarborough,Scarborough,ON,Canada,NULL,NULL,375
munich.de,Munich,NULL,Germany,NULL,NULL,376
pennantpoint,Pennant Station,SK,Canada,NULL,NULL,377
spngfld.il,Springfield,IL,USA,NULL,NULL,378
lang.ca,Los Angeles,CA,USA,NULL,NULL,379
grenoble,Grenoble,NULL,France,NULL,NULL,380
lyon,Lyon,NULL,France,NULL,NULL,381
trd.no,Trondheim,NULL,Norway,NULL,NULL,382
bgo.no,Bergen,NULL,Norway,NULL,NULL,383
pitbpa,Pittsburgh,PA,USA,NULL,NULL,384
scllg.pa,State College,PA,USA,NULL,NULL,385
azo,Kalamazoo,MI,USA,NULL,NULL,386
rotterdam,Rotterdam,NULL,Netherlands,NULL,NULL,387
ams.nl,Amsterdam,NULL,Netherlands,NULL,NULL,388
asd,Amsterdam,NULL,Netherlands,NULL,NULL,389
flnt.mi,Flint,MI,USA,NULL,NULL,390
washingtoneast,Washington,DC,USA,NULL,NULL,391
chlnc,Charlotte,NC,USA,NULL,NULL,392
snvaca,Sunnyvale,CA,USA,NULL,NULL,393
flntmi,Flint,MI,USA,NULL,NULL,394
brhmmi,Birmingham,MI,USA,NULL,NULL,395
hrdnva,Herndon,VA,USA,NULL,NULL,396
bur,Burbank,CA,USA,NULL,NULL,397
roalok.mi,Royal Oak,MI,USA,NULL,NULL,398
rockis.il,Rock Island,IL,USA,NULL,NULL,399
hvs.nl,Hilversum,NULL,Netherlands,NULL,NULL,400
eugn,Eugene,OR,USA,NULL,NULL,401
ftwotx,Fort Worth,TX,USA,NULL,NULL,402
ftwrth.tx,Fort Worth,TX,USA,NULL,NULL,403
relay,Relay,MD,USA,NULL,NULL,404
hcvlny,Hicksville,NY,USA,NULL,NULL,405
soldny,Southold,NY,USA,NULL,NULL,406
pal.ca,Palo Alto,CA,USA,NULL,NULL,407
sjc.ca,San Jose,CA,USA,NULL,NULL,408
phl.pen,Philadelphia,PA,USA,NULL,NULL,409
new.york,New York,NY,USA,NULL,NULL,410
londen,London,NULL,United Kingdom,NULL,NULL,411
vienna,Vienna,VA,USA,NULL,NULL,412
iplvin,Indianapolis,IN,USA,NULL,NULL,413
karlsruhe,Karlsruhe,NULL,Germany,NULL,NULL,414
freiburg,Freiburg,NULL,Germany,NULL,NULL,415
stpetersburg,St. Petersburg,NULL,Russia,NULL,NULL,416
lth,London,NULL,United Kingdom,NULL,NULL,417
dublin,Dublin,NULL,Ireland,NULL,NULL,418
corlis.pa,Coraopolis,PA,USA,NULL,NULL,419
tpkaks,Topeka,KS,USA,NULL,NULL,420
earlsfort,Dublin,NULL,Ireland,NULL,NULL,421
snbbca,Santa Barbara,CA,USA,NULL,NULL,422
santab.ca,Santa Barbara,CA,USA,NULL,NULL,423
sndg,San Diego,CA,USA,NULL,NULL,424
iah,Houston,TX,USA,NULL,NULL,425
ottawa,Ottawa,ON,Canada,NULL,NULL,426
us-sfo,San Francisco,CA,USA,NULL,NULL,427
wee,Weehawken,NJ,USA,NULL,NULL,428
was,Washington,DC,USA,NULL,NULL,429
chicag.il,Chicago,IL,USA,NULL,NULL,430
little.ar,Little Rock,AR,USA,NULL,NULL,431
avloh,Avon Lake,OH,USA,NULL,NULL,432
eleoh,Eastlake,OH,USA,NULL,NULL,433
heidelberg,Heidelberg,NULL,Germany,NULL,NULL,434
lamstx,Lamesa,TX,USA,NULL,NULL,435
vinnva,Vienna,VA,USA,NULL,NULL,436
broomfield,Broomfield,CO,USA,NULL,NULL,437
sant.cl,Santiago,NULL,Chile,NULL,NULL,438
alex.us,Alexandria,VA,USA,NULL,NULL,439
chgil,Chicago,IL,USA,NULL,NULL,440
auckland,Auckland,NULL,New Zealand,NULL,NULL,441
stngva,Sterling,VA,USA,NULL,NULL,442
crsncty.nv,Carson City,NV,USA,NULL,NULL,443
mhvlnj,Merchantville,NJ,USA,NULL,NULL,444
us.nyk,New York,NY,USA,NULL,NULL,445
us.pen,Pennsauken,NJ,USA,NULL,NULL,446
stng,Sterling,VA,USA,NULL,NULL,447
nan.fr,Nancy,NULL,France,NULL,NULL,448
enschede,Enschede,NULL,Netherlands,NULL,NULL,449
groningen,Groningen,NULL,Netherlands,NULL,NULL,450
denverden,Denver,CO,USA,NULL,NULL,451
scrchl,Rock Hill,SC,USA,NULL,NULL,452
tkwl,Tukwila,WA,USA,NULL,NULL,453
nl.ams,Amsterdam,NULL,Netherlands,NULL,NULL,454
dall.tx,Dallas,TX,USA,NULL,NULL,455
auttx,Austin,TX,USA,NULL,NULL,456
cho,Charlottesville,VA,USA,NULL,NULL,457
us-la,Los Angeles,CA,USA,NULL,NULL,458
au.vie,Vienna,NULL,Austria,NULL,NULL,459
mla.it,Milan,NULL,Italy,NULL,NULL,460
nwk-nj,Newark,NJ,USA,NULL,NULL,461
har-ct,Hartford,CT,USA,NULL,NULL,462
dnvrco,Denver,CO,USA,NULL,NULL,463
slkcut,Salt Lake City,UT,USA,NULL,NULL,464
sfrn.ca,San Francisco,CA,USA,NULL,NULL,465
chi.il,Chicago,IL,USA,NULL,NULL,466
sbo.ma,Boston,MA,USA,NULL,NULL,467
me.portland,Portland,ME,USA,NULL,NULL,468
cal,Calgary,AB,Canada,NULL,NULL,469
trnt,Trenton,NJ,USA,NULL,NULL,470
erlangen,Erlangen,NULL,Germany,NULL,NULL,471
spo,Sao Paulo,NULL,Brazil,NULL,NULL,472
pae,Porto Alegre,NULL,Brazil,NULL,NULL,473
cwb,Curitiba,NULL,Brazil,NULL,NULL,474
mln,Milan,NULL,Italy,NULL,NULL,475
mpls,Minneapolis,MN,USA,NULL,NULL,476
tulsa,Tulsa,OK,USA,NULL,NULL,477
stkh.se,Stockholm,NULL,Sweden,NULL,NULL,478
frnk.de,Frankfurt,NULL,Germany,NULL,NULL,479
brln.de,Berlin,NULL,Germany,NULL,NULL,480
hannover,Hannover,NULL,Germany,NULL,NULL,481
leipzig,Leipzig,NULL,Germany,NULL,NULL,482
ilmenau,Ilmenau,NULL,Germany,NULL,NULL,483
bud,Budapest,NULL,Hungary,NULL,NULL,484
ro.buc,Bucharest,NULL,Romania,NULL,NULL,485
detmi,Detroit,MI,USA,NULL,NULL,486
dk.cop,Copenhagen,NULL,Denmark,NULL,NULL,487
se.sto,Stockholm,NULL,Sweden,NULL,NULL,488
mel,Melbourne,NULL,Australia,NULL,NULL,489
ballarat.au,Ballarat,VIC,Australia,NULL,NULL,490
phlpa,Philadelphia,PA,USA,NULL,NULL,491
cbr,Canberra,NULL,Australia,NULL,NULL,492
colu.oh,Columbus,OH,USA,NULL,NULL,493
per,Perth,NULL,Australia,NULL,NULL,494
arlva,Arlington,VA,USA,NULL,NULL,495
laurentides,Laurentides,QU,Canada,NULL,NULL,496
plsntvlle.nj,Pleasantville,NJ,USA,NULL,NULL,497
jffsn.mo,Jefferson City,MO,USA,NULL,NULL,498
phoenix,Phoenix,AZ,USA,NULL,NULL,499
mow,Moscow,NULL,Russia,NULL,NULL,500
grapid.mi,Grand Rapids,MI,USA,NULL,NULL,501
nmalbu,Albuquerque,NM,USA,NULL,NULL,502
jax,Jacksonville,FL,USA,NULL,NULL,503
fll,Fort Lauderdale,FL,USA,NULL,NULL,504
ory,Paris,NULL,France,NULL,NULL,505
frf,Frankfurt,NULL,Germany,NULL,NULL,506
hud.ny,Hudson,NY,USA,NULL,NULL,507
nyc.ny,New York,NY,USA,NULL,NULL,508
was.dc,Washington,DC,USA,NULL,NULL,509
atl.ga,Atlanta,GA,USA,NULL,NULL,510
mem.tn,Memphis,TN,USA,NULL,NULL,511
no.osl,Oslo,NULL,Norway,NULL,NULL,512
rjo,Rio De Janeiro,NULL,Brazil,NULL,NULL,513
bhe,Belo Horizonte,NULL,Brazil,NULL,NULL,514
