	4.20.236.3.rivnet.net
ca.lkwd	bar01-p0-0-0.lkwdhe1.ca.attbb.net
ca.lkwd	bar01-p5-0-0.lkwdhe1.ca.attbb.net
ca.lkwd	ubr01-p1-0.lkwdhe1.ca.attbb.net
ca.lodi	bar01-d1-0-0.lodihe1.ca.attbb.net
ca.lsan	bar01-d4-0.lsanhe4.ca.attbb.net
ca.lsan	bar01-d5-0.lsanhe5.ca.attbb.net
ca.lsan	bar01-d6-0.lsanhe5.ca.attbb.net
ca.lsan	bar01-p2-0.lsanhe4.ca.attbb.net
ca.lsan	bar01-p3-0.lsanhe4.ca.attbb.net
ca.lsan	bar01-p4-0.lsanhe6.ca.attbb.net
ca.lsan	bar01-p5-0.lsanhe6.ca.attbb.net
ca.lsan	bar02-d3-0.lsanhe4.ca.attbb.net
ca.lsan	bic01-p0-0.lsanhe3.ca.attbb.net
ca.lsan	bic01-p2-0.lsanhe3.ca.attbb.net
ca.lsan	bic01-p4-0.lsanhe3.ca.attbb.net
ca.lsan	bic02-d4-0.lsanhe3.ca.attbb.net
ca.lsan	bic02-p0-0.lsanhe3.ca.attbb.net
ca.lsan	bic02-p2-0.lsanhe3.ca.attbb.net
ca.lsan	bic02-p4-0.lsanhe3.ca.attbb.net
ca.lsan	btr01-p8-0-0.lsanhe4.ca.attbb.net
ca.lsan	ubr01-p1-0.lsanhe4.ca.attbb.net
ca.lsan	ubr01-p1-0.lsanhe5.ca.attbb.net
ca.lsan	ubr01-p1-0.lsanhe6.ca.attbb.net
ca.lsan	ubr02-p1-0.lsanhe6.ca.attbb.net
ca.lsan	ubr02-p2-0.lsanhe5.ca.attbb.net
ca.lsan	ubr02-p2-0.lsanhe6.ca.attbb.net
ca.lsan	ubr03-p1-0.lsanhe6.ca.attbb.net
ca.lsan	ubr03-p2-0.lsanhe5.ca.attbb.net
ca.lsan	ubr04-p1-0.lsanhe5.ca.attbb.net
ca.lsan	ubr04-p2-0.lsanhe4.ca.attbb.net
ca.lsan	ubr05-p1-0.lsanhe4.ca.attbb.net
ca.lsan	ubr05-p2-0.lsanhe5.ca.attbb.net
ca.lsan	ubr06-p1-0.lsanhe5.ca.attbb.net
ca.lsan	ubr06-p2-0.lsanhe4.ca.attbb.net
ca.lsan	ubr07-p1-0.lsanhe4.ca.attbb.net
ca.lsan	ubr07-p1-0.lsanhe5.ca.attbb.net
ca.lsan	ubr08-p2-0.lsanhe4.ca.attbb.net
ca.lsan	ubr09-p1-0.lsanhe4.ca.attbb.net
ca.lsan	ubr10-p2-0.lsanhe4.ca.attbb.net
ca.lsan	ubr11-p1-0.lsanhe4.ca.attbb.net
ca.lsan	ubr13-p2-0.lsanhe4.ca.attbb.net
ca.madr	ubr01-p1-0.madrhe1.ca.attbb.net
ca.rdly	bar01-p4-0-0.rdlyhe1.ca.attbb.net
ca.sktn	bar01-d1-0-0.sktnhe1.ca.attbb.net
ca.sktn	bar01-p0-1-0.sktnhe3.ca.attbb.net
ca.sktn	bar01-p4-1-0.sktnhe3.ca.attbb.net
ca.sktn	bar01-p5-0-0.sktnhe3.ca.attbb.net
ca.sktn	bar01-p8-1-0.sktnhe3.ca.attbb.net
ca.sktn	bar02-f5-37.sktnhe3.ca.attbb.net
ca.sktn	bar02-p3-0-0.sktnhe3.ca.attbb.net
ca.sktn	ubr01-p1-0.sktnhe1.ca.attbb.net
ca.sktn	ubr01-p1-0.sktnhe3.ca.attbb.net
ca.sktn	ubr02-p1-0.sktnhe3.ca.attbb.net
ca.sktn	ubr02-p2-0.sktnhe1.ca.attbb.net
ca.sktn	ubr02-p2-0.sktnhe3.ca.attbb.net
ca.sktn	ubr03-p1-0.sktnhe3.ca.attbb.net
ca.sktn	ubr03-p2-0.sktnhe3.ca.attbb.net
ca.stcl	bar01-p3-1.stclhe1.ca.attbb.net
ca.stcl	ubr01-p2-0.stclhe1.ca.attbb.net
ca.stcl	ubr02-p1-0.stclhe1.ca.attbb.net
ca.tjga	bar01-p10-0-0.tjgahe1.ca.attbb.net
ca.tjga	bar01-p5-0-0.tjgahe1.ca.attbb.net
ca.tjga	bar01-p7-0-0.tjgahe1.ca.attbb.net
ca.tjga	ubr01-p1-0.tjgahe1.ca.attbb.net
ca.tjga	ubr02-p1-0.tjgahe1.ca.attbb.net
ca.tjga	ubr02-p2-0.tjgahe1.ca.attbb.net
ca.trac	ubr01-f1-0.trache1.ca.attbb.net
ca.tust	bar01-p5-0-0.tusthe1.ca.attbb.net
ca.tust	ubr01-p1-0.tusthe1.ca.attbb.net
ca.visl	ubr01-p1-0.vislhe1.ca.attbb.net
ca.visl	ubr02-p2-0.vislhe1.ca.attbb.net
